version,compound,method,basis,epsilon,delta_total,delta_sigma,delta_pi
v6,Butadiene 1-2,HF,6-31G*,0.3493,0.1618,0.2431,-0.0813
v6,Butadiene 2-3,HF,6-31G*,0.0308,0.0285,0.5299,-0.5014
v6,Benzene C-C,HF,6-31G*,0.2316,0.1302,0.1784,-0.0481
v6,Naphthalene 0-1,HF,6-31G*,0.185,0.1017,0.2063,-0.1047
v6,Naphthalene 0-5,HF,6-31G*,0.0939,0.0481,0.1291,-0.081
v6,Naphthalene 0-6 (peri),HF,6-31G*,0.1877,0.1037,0.1591,-0.0553
v6,C1 N2 N≡N,HF,6-31G*,0.0,0.0,0.1038,-0.1038
v6,C2 HCCH C≡C,HF,6-31G*,0.0,0.0,0.5094,-0.5094
v6,C3 HCN C≡N,HF,6-31G*,0.0,0.0,0.9027,-0.9027
v6,C4 CO C≡O,HF,6-31G*,0.0,0.0,0.2633,-0.2633
v6,D1 Benzene C-C,HF,6-31G*,0.2316,0.1302,0.1784,-0.0481
v6,D2 Pyridine C2-C3,HF,6-31G*,0.2393,0.1333,0.1769,-0.0437
v6,D3 Furan C2-C3,HF,6-31G*,0.4207,0.1792,0.2192,-0.04
v6,D4 Butadiene C1-C2 (terminal),HF,6-31G*,2.3775,0.4192,0.7815,-0.3624
v6,D5 Butadiene C2-C3 (central),HF,6-31G*,0.4057,0.3513,1.5583,-1.207
v6,E1 Ethane C-C,HF,6-31G*,0.0,0.0,0.0887,-0.0887
v6,E2 Methane C-H,HF,6-31G*,0.0,0.0,-0.0,0.0
v6,E3 H2O O-H,HF,6-31G*,0.0413,0.0562,0.0562,0.0
v6,F1 NH3 N-H,HF,6-31G*,0.0425,0.0489,0.1112,-0.0623
v6,F2 N2F4 N-N,HF,6-31G*,0.6856,0.3709,0.474,-0.1031
v6,F3 BH3 B-H,HF,6-31G*,0.28,0.0979,0.0979,0.0
v7,Butadiene 1-2,HF,6-31G*,0.3493,0.1618,0.2431,-0.0813
v7,Butadiene 2-3,HF,6-31G*,0.0308,0.0285,0.5299,-0.5014
v7,Benzene C-C,HF,6-31G*,0.2316,0.1302,0.1784,-0.0481
v7,Naphthalene 0-1,HF,6-31G*,0.185,0.1017,0.2063,-0.1047
v7,Naphthalene 0-5,HF,6-31G*,0.0939,0.0481,0.1291,-0.081
v7,Naphthalene 0-6 (peri),HF,6-31G*,0.1877,0.1037,0.1591,-0.0553
v7,I1 Thiophene C2-C3,HF,6-31G*,0.2353,0.1051,0.1332,-0.0281
v7,I2 Pyrrole C2-C3,HF,6-31G*,0.3745,0.1944,0.2536,-0.0591
v7,J1 Naphthalene C1-C2,HF,6-31G*,0.0523,0.0326,0.0859,-0.0532
v7,L1 CH3CN C≡N (乙腈),HF,6-31G*,0.0,0.0,0.91,-0.91
v7,"M2 1,3,5-Hexatriene C1-C2 (终端)",HF,6-31G*,0.4041,0.216,0.2494,-0.0334
v7,N1 Cyclopropane C-C,HF,6-31G*,0.8445,0.2221,0.3163,-0.0942
v7,O1 BF3 B-F,HF,6-31G*,0.0003,0.0002,0.1932,-0.193
v7,O2 BCl3 B-Cl,HF,6-31G*,0.1055,0.0311,0.1048,-0.0737
v7,O3 H3B-NH3 B-N (donor-acceptor),HF,6-31G*,0.1442,0.0173,0.1852,-0.1679
v7,R1 HF H-F,HF,6-31G*,0.0,0.0,0.1388,-0.1388
v7,R2 HCl H-Cl,HF,6-31G*,0.0,0.0,0.0316,-0.0316
v7,S1 CHF3 C-F,HF,6-31G*,0.2102,0.1281,0.4295,-0.3014
v7,S2 CCl4 C-Cl,HF,6-31G*,0.0,0.0,0.0872,-0.0872
v7,U1 H2O2 O-O,HF,6-31G*,0.0367,0.0222,0.2384,-0.2161
v7,U2 N2H4 N-N (肼),HF,6-31G*,0.2041,0.1266,0.2807,-0.1541
v7,V1 HCP H-C≡P,HF,6-31G*,0.0,0.0,0.1422,-0.1422
v7,W1 N2O3 N-N,HF,6-31G*,0.0863,0.0252,0.0562,-0.031
v8,Butadiene 1-2,HF,6-31G*,0.3493,0.1618,0.2431,-0.0813
v8,Butadiene 2-3,HF,6-31G*,0.0308,0.0285,0.5299,-0.5014
