version,compound,method,basis,t_BCP,rho_BCP,lambda_1,lambda_2,lambda_3,epsilon,delta_total,delta_sigma,delta_pi,recon_error_pct
v6,Benzene C-C,HF,6-31G*,0.495,0.3215,-0.6923,-0.5621,0.2737,0.2316,0.1302,0.1784,-0.0481,0.07680491551458446
v6,Butadiene 1-2,HF,6-31G*,0.505,0.2988,-0.6248,-0.4631,0.2879,0.3493,0.1618,0.2431,-0.0813,0.0
v6,Butadiene 2-3,HF,6-31G*,0.648,0.4298,-0.954,-0.9255,0.6575,0.0308,0.0285,0.5299,-0.5014,2.799904557716952e-13
v6,C1 N2 N≡N,HF,6-31G*,0.495,0.6807,-1.6148,-1.6148,0.7591,0.0,0.0,0.1038,-0.1038,0.0
v6,C2 HCCH C≡C,HF,6-31G*,0.495,0.404,-0.5588,-0.5588,-0.0729,0.0,0.0,0.5094,-0.5094,0.0
v6,C3 HCN C≡N,HF,6-31G*,0.332,0.4644,-0.9876,-0.9876,2.9374,0.0,0.0,0.9027,-0.9027,0.0
v6,C4 CO C≡O,HF,6-31G*,0.332,0.4801,-1.6205,-1.6205,4.4152,0.0,0.0,0.2633,-0.2633,0.0
v6,D1 Benzene C-C,HF,6-31G*,0.495,0.3215,-0.6923,-0.5621,0.2737,0.2316,0.1302,0.1784,-0.0481,0.07680491551458446
v6,D2 Pyridine C2-C3,HF,6-31G*,0.495,0.3176,-0.6902,-0.5569,0.2932,0.2393,0.1333,0.1769,-0.0437,0.07501875468868473
v6,D3 Furan C2-C3,HF,6-31G*,0.526,0.2895,-0.6051,-0.4259,0.2821,0.4207,0.1792,0.2192,-0.04,0.0
v6,D4 Butadiene C1-C2 (terminal),HF,6-31G*,0.321,0.2872,-0.5955,-0.1763,0.9063,2.3775,0.4192,0.7815,-0.3624,0.023854961832071683
v6,D5 Butadiene C2-C3 (central),HF,6-31G*,0.597,0.6082,-1.2172,-0.8659,1.8867,0.4057,0.3513,1.5583,-1.207,1.5801637128169038e-14
v6,E1 Ethane C-C,HF,6-31G*,0.505,0.2516,-0.4772,-0.4772,0.2982,0.0,0.0,0.0887,-0.0887,0.0
v6,E2 Methane C-H,HF,6-31G*,0.628,0.2734,-0.705,-0.705,0.4659,0.0,0.0,-0.0,0.0,0.0
v6,E3 H2O O-H,HF,6-31G*,0.75,0.3621,-1.4152,-1.359,1.1157,0.0413,0.0562,0.0562,0.0,0.0
v6,F1 NH3 N-H,HF,6-31G*,0.74,0.3333,-1.1995,-1.1506,0.7084,0.0425,0.0489,0.1112,-0.0623,1.4189967083654864e-14
v6,F2 N2F4 N-N,HF,6-31G*,0.505,0.3307,-0.9119,-0.541,0.7082,0.6856,0.3709,0.474,-0.1031,0.0
v6,F3 BH3 B-H,HF,6-31G*,0.434,0.1832,-0.4476,-0.3497,0.4386,0.28,0.0979,0.0979,0.0,0.0
v6,Naphthalene 0-1,HF,6-31G*,0.495,0.3066,-0.6513,-0.5496,0.2955,0.185,0.1017,0.2063,-0.1047,0.09832841691247687
v6,Naphthalene 0-5,HF,6-31G*,0.485,0.2889,-0.56,-0.5119,0.2704,0.0939,0.0481,0.1291,-0.081,1.442597485219798e-14
v6,Naphthalene 0-6 (peri),HF,6-31G*,0.495,0.3066,-0.6564,-0.5527,0.295,0.1877,0.1037,0.1591,-0.0553,0.09643201542911185
v7,Benzene C-C,HF,6-31G*,0.495,0.3215,-0.6923,-0.5621,0.2737,0.2316,0.1302,0.1784,-0.0481,0.07680491551458446
